latitude,longitude,user_id,log_time
25.241455,55.316036,8,2021-04-17 09:54:41
25.241592,55.316067,8,2021-04-17 09:55:08
25.241714,55.316517,8,2021-04-17 09:55:31
25.241804,55.317013,8,2021-04-17 09:55:54
25.237305,55.317192,8,2021-04-17 09:56:22
25.235048,55.31699,8,2021-04-17 09:56:46
25.235039,55.316986,8,2021-04-17 09:57:07
25.232077,55.316463,8,2021-04-17 09:58:56
25.228395,55.315384,8,2021-04-17 09:58:57
25.225037,55.31538,8,2021-04-17 09:58:58
25.222197,55.315262,8,2021-04-17 09:58:58
25.218958,55.31461,8,2021-04-17 09:59:03
25.215157,55.31218,8,2021-04-17 09:59:31
25.211323,55.310455,8,2021-04-17 09:59:53
25.203001,55.30534,8,2021-04-17 10:00:42
25.202089,55.300915,8,2021-04-17 10:01:06
25.201563,55.297012,8,2021-04-17 10:01:25
25.200968,55.294304,8,2021-04-17 10:01:40
25.199589,55.292191,8,2021-04-17 10:01:56
25.197472,55.290752,8,2021-04-17 10:02:11
25.19379,55.287773,8,2021-04-17 10:02:37
25.191475,55.283005,8,2021-04-17 10:03:06
25.189884,55.281822,8,2021-04-17 10:03:22
25.186665,55.278954,8,2021-04-17 10:03:54
25.1852,55.277744,8,2021-04-17 10:04:09
25.185844,55.276299,8,2021-04-17 10:04:47
25.187899,55.27401,8,2021-04-17 10:05:19
25.190359,55.270123,8,2021-04-17 10:05:47
25.190554,55.269699,8,2021-04-17 10:06:02
25.191326,55.268845,8,2021-04-17 10:06:25
25.19422,55.267731,8,2021-04-17 10:06:43
25.194386,55.267326,8,2021-04-17 10:07:06
25.194151,55.267403,8,2021-04-17 10:07:22
25.194199,55.267353,8,2021-04-17 10:07:37
25.194191,55.26757,8,2021-04-17 10:08:06
25.193094,55.266384,8,2021-04-17 10:08:23
25.194279,55.267422,8,2021-04-17 10:08:41
25.19408,55.265717,8,2021-04-17 10:09:07
25.194008,55.265297,8,2021-04-17 10:09:23
25.193611,55.264084,8,2021-04-17 10:09:38
25.192259,55.262871,8,2021-04-17 10:10:06
25.1924,55.262535,8,2021-04-17 10:10:24
25.192677,55.262642,8,2021-04-17 10:10:39
25.192776,55.262768,8,2021-04-17 10:10:55
25.192827,55.262974,8,2021-04-17 10:11:25
25.192942,55.263115,8,2021-04-17 10:11:55
25.19318,55.263519,8,2021-04-17 10:12:25
25.190248,55.264603,8,2021-04-17 10:12:55
25.193216,55.263412,8,2021-04-17 10:13:26
25.193069,55.263065,8,2021-04-17 10:13:41
25.193222,55.263332,8,2021-04-17 10:14:12
25.192757,55.262978,8,2021-04-17 10:14:27
25.193008,55.262821,8,2021-04-17 10:14:44
25.193081,55.263206,8,2021-04-17 10:15:09
25.193186,55.26342,8,2021-04-17 10:15:29
25.19294,55.262909,8,2021-04-17 10:15:45
25.193144,55.263245,8,2021-04-17 10:16:00
25.192553,55.263042,8,2021-04-17 10:16:18
25.192825,55.262913,8,2021-04-17 10:16:35
25.192801,55.26297,8,2021-04-17 10:17:04
25.192772,55.262737,8,2021-04-17 10:17:27
25.193157,55.263214,8,2021-04-17 10:17:51
25.192959,55.263096,8,2021-04-17 10:18:10
25.193007,55.262966,8,2021-04-17 10:18:38
25.195614,55.264423,8,2021-04-17 10:19:06
25.193205,55.263378,8,2021-04-17 10:19:24
25.193043,55.263035,8,2021-04-17 10:19:42
25.192995,55.263065,8,2021-04-17 10:20:11
25.192854,55.262936,8,2021-04-17 10:20:29
25.193079,55.263165,8,2021-04-17 10:20:57
25.192808,55.263016,8,2021-04-17 10:21:15
25.192822,55.262955,8,2021-04-17 10:21:44
25.192808,55.263115,8,2021-04-17 10:22:04
25.193121,55.263302,8,2021-04-17 10:22:29
25.192745,55.262829,8,2021-04-17 10:22:48
25.192787,55.262878,8,2021-04-17 10:23:17
25.192879,55.262974,8,2021-04-17 10:23:35
25.193291,55.263142,8,2021-04-17 10:24:04
25.192896,55.262966,8,2021-04-17 10:24:22
25.192814,55.262798,8,2021-04-17 10:24:51
25.192829,55.262962,8,2021-04-17 10:25:08
25.193205,55.263378,8,2021-04-17 10:25:37
25.192656,55.263077,8,2021-04-17 10:26:04
25.190256,55.264629,8,2021-04-17 10:26:23
25.192778,55.262814,8,2021-04-17 10:28:56
25.192932,55.262974,8,2021-04-17 10:28:57
25.193081,55.26313,8,2021-04-17 10:28:57
25.193007,55.263275,8,2021-04-17 10:28:57
25.193275,55.263466,8,2021-04-17 10:28:58
25.193489,55.263733,8,2021-04-17 10:28:58
25.193468,55.263184,8,2021-04-17 10:29:16
25.19331,55.263256,8,2021-04-17 10:29:33
25.193739,55.263107,8,2021-04-17 10:30:04
25.193806,55.263046,8,2021-04-17 10:30:36
25.194,55.262455,8,2021-04-17 10:31:14
25.19383,55.262615,8,2021-04-17 10:31:36
25.193829,55.263016,8,2021-04-17 10:32:06
25.193802,55.263031,8,2021-04-17 10:32:38
25.193842,55.262985,8,2021-04-17 10:33:11
25.194048,55.262691,8,2021-04-17 10:33:30
25.19412,55.262672,8,2021-04-17 10:34:00
25.193834,55.263023,8,2021-04-17 10:34:33
25.193804,55.263096,8,2021-04-17 10:35:05
25.193783,55.263035,8,2021-04-17 10:35:38
25.193779,55.263027,8,2021-04-17 10:36:11
25.193167,55.263733,8,2021-04-17 10:36:24
25.193802,55.263088,8,2021-04-17 10:36:42
25.193489,55.263733,8,2021-04-17 10:37:12
25.193489,55.263733,8,2021-04-17 10:37:26
25.193146,55.263802,8,2021-04-17 10:37:43
25.193157,55.263466,8,2021-04-17 10:38:01
25.193132,55.263176,8,2021-04-17 10:38:21
25.192965,55.262989,8,2021-04-17 10:38:36
25.192856,55.262772,8,2021-04-17 10:38:53
25.192659,55.262749,8,2021-04-17 10:39:18
25.190247,55.264606,8,2021-04-17 10:39:46
25.192677,55.26265,8,2021-04-17 10:39:50
25.193024,55.262989,8,2021-04-17 10:40:05
25.192835,55.262997,8,2021-04-17 10:40:20
25.192837,55.263077,8,2021-04-17 10:40:36
25.192808,55.263103,8,2021-04-17 10:40:51
25.192856,55.26318,8,2021-04-17 10:41:07
25.192856,55.26318,8,2021-04-17 10:41:23
25.192856,55.26318,8,2021-04-17 10:41:39
25.192856,55.26318,8,2021-04-17 10:41:54
25.192856,55.26318,8,2021-04-17 10:42:10
25.192856,55.26318,8,2021-04-17 10:42:26
25.192856,55.26318,8,2021-04-17 10:42:44
25.192959,55.263077,8,2021-04-17 10:42:58
25.192789,55.262955,8,2021-04-17 10:43:15
25.192614,55.263062,8,2021-04-17 10:43:34
25.191475,55.263859,8,2021-04-17 10:43:55
25.187948,55.262352,8,2021-04-17 10:44:21
25.186825,55.259758,8,2021-04-17 10:44:44
25.18251,55.258362,8,2021-04-17 10:45:14
25.180449,55.261356,8,2021-04-17 10:45:32
25.17676,55.258495,8,2021-04-17 10:45:55
25.175356,55.256157,8,2021-04-17 10:46:20
25.17782,55.253468,8,2021-04-17 10:46:39
25.180779,55.249889,8,2021-04-17 10:47:07
25.180239,55.247578,8,2021-04-17 10:47:25
25.180145,55.247597,8,2021-04-17 10:47:41
25.173128,55.242619,8,2021-04-17 10:48:11
25.169552,55.239395,8,2021-04-17 10:48:32
25.169552,55.239395,8,2021-04-17 10:48:47
25.162708,55.233055,8,2021-04-17 10:49:07
25.162708,55.233055,8,2021-04-17 10:49:22
25.155241,55.227345,8,2021-04-17 10:49:44
25.150745,55.224586,8,2021-04-17 10:50:07
25.150745,55.224586,8,2021-04-17 10:50:32
25.138149,55.216583,8,2021-04-17 10:51:03
25.13518,55.214561,8,2021-04-17 10:51:21
25.134018,55.213539,8,2021-04-17 10:51:38
25.134443,55.213329,8,2021-04-17 10:51:56
25.134663,55.213409,8,2021-04-17 10:52:11
25.134607,55.213673,8,2021-04-17 10:52:44
25.134569,55.213947,8,2021-04-17 10:53:05
25.133875,55.213593,8,2021-04-17 10:53:32
25.131577,55.211651,8,2021-04-17 10:54:01
25.126099,55.205917,8,2021-04-17 10:54:30
25.123566,55.202213,8,2021-04-17 10:54:47
